
 r(lower)	 r(upper)	 z(lower)	 z(upper)	 Vr(avg)	 Vz(avg)
0.67	0.7525	0	0.025	0	0
0.7525	0.835	0	0.025	0	0
0.835	0.9175	0	0.025	0	0
0.9175	1	0	0.025	0	0
0.67	0.7525	0.025	0.05	0	0
0.7525	0.835	0.025	0.05	0	0
0.835	0.9175	0.025	0.05	0	0
0.9175	1	0.025	0.05	0	0
0.67	0.7525	0.05	0.075	0	0
0.7525	0.835	0.05	0.075	0	0
0.835	0.9175	0.05	0.075	0	0
0.9175	1	0.05	0.075	0	0
0.67	0.7525	0.075	0.1	-0.082191	0.0391847
0.7525	0.835	0.075	0.1	-0.00783875	0.0678277
0.835	0.9175	0.075	0.1	-0.00780477	-0.009037
0.9175	1	0.075	0.1	0.0332897	0.0262929
0.67	0.7525	0.1	0.125	-0.0462184	0.00682341
0.7525	0.835	0.1	0.125	0.00285726	0.00740212
0.835	0.9175	0.1	0.125	0.0391149	-0.0338255
0.9175	1	0.1	0.125	-0.00156	0.00280475
0.67	0.7525	0.125	0.15	-0.00539239	-0.0882501
0.7525	0.835	0.125	0.15	-0.124366	-0.0230152
0.835	0.9175	0.125	0.15	0.0260895	0.038623
0.9175	1	0.125	0.15	-0.0698171	0.0252791
0.67	0.7525	0.15	0.175	-0.0318427	-0.0291886
0.7525	0.835	0.15	0.175	0.0232381	0.023174
0.835	0.9175	0.15	0.175	-0.0417625	-0.0422704
0.9175	1	0.15	0.175	0.027946	-0.00154474
0.67	0.7525	0.175	0.2	-0.0230626	0.0471621
0.7525	0.835	0.175	0.2	-0.0612409	0.0331676
0.835	0.9175	0.175	0.2	0.0360509	0.0284304
0.9175	1	0.175	0.2	0.0452772	-0.00804711
0.67	0.7525	0.2	0.225	-0.00407293	-0.0733233
0.7525	0.835	0.2	0.225	0.053152	-0.0517459
0.835	0.9175	0.2	0.225	-0.0442004	0.0336315
0.9175	1	0.2	0.225	-0.00395498	-0.0363639
0.67	0.7525	0.225	0.25	-0.072601	0.111191
0.7525	0.835	0.225	0.25	-0.0547286	0.00453428
0.835	0.9175	0.225	0.25	-0.0706477	-0.021279
0.9175	1	0.225	0.25	0.00796203	0.0211587
0.67	0.7525	0.25	0.275	0.0573384	-0.0015873
0.7525	0.835	0.25	0.275	0.0408294	0.0457229
0.835	0.9175	0.25	0.275	0.0271173	-0.0170168
0.9175	1	0.25	0.275	-0.0499509	0.0475324
0.67	0.7525	0.275	0.3	0.0757535	0.0566892
0.7525	0.835	0.275	0.3	-0.00404856	-0.0252477
0.835	0.9175	0.275	0.3	0.0504049	-0.0180267
0.9175	1	0.275	0.3	0.00595422	-0.0241666
0.67	0.7525	0.3	0.325	-0.0851954	-0.0316606
0.7525	0.835	0.3	0.325	-0.00704777	0.035561
0.835	0.9175	0.3	0.325	-0.0259054	0.033853
0.9175	1	0.3	0.325	0.0124891	-0.014932
0.67	0.7525	0.325	0.35	-0.00292824	0.0174826
0.7525	0.835	0.325	0.35	-0.00491771	-0.00340513
0.835	0.9175	0.325	0.35	0.0335036	0.018476
0.9175	1	0.325	0.35	0.00600202	0.018597
0.67	0.7525	0.35	0.375	-0.00255637	-0.0113536
0.7525	0.835	0.35	0.375	-0.00104511	0.0202475
0.835	0.9175	0.35	0.375	0.00713961	-0.0348566
0.9175	1	0.35	0.375	0.0609739	0.0178311
0.67	0.7525	0.375	0.4	0.0343778	0.0187376
0.7525	0.835	0.375	0.4	-0.0603494	0.0544343
0.835	0.9175	0.375	0.4	-0.0705857	0.00401026
0.9175	1	0.375	0.4	-0.042691	-0.0155457
0.67	0.7525	0.4	0.425	0.064855	-0.109072
0.7525	0.835	0.4	0.425	-0.0225021	0.0357523
0.835	0.9175	0.4	0.425	-0.0341722	0.0102506
0.9175	1	0.4	0.425	-0.0348722	-0.00251661
0.67	0.7525	0.425	0.45	-0.0847057	0.0325161
0.7525	0.835	0.425	0.45	-0.00340992	0.0453902
0.835	0.9175	0.425	0.45	0.0357088	-0.0238297
0.9175	1	0.425	0.45	0.0439777	0.00119544
0.67	0.7525	0.45	0.475	-0.0144535	-0.0654813
0.7525	0.835	0.45	0.475	0.073746	0.010607
0.835	0.9175	0.45	0.475	0.0115068	-0.0196122
0.9175	1	0.45	0.475	0.0139233	0.00827998
0.67	0.7525	0.475	0.5	0.0312786	-0.0492625
0.7525	0.835	0.475	0.5	-0.011607	-0.0126519
0.835	0.9175	0.475	0.5	-0.0583988	-0.0308364
0.9175	1	0.475	0.5	0.055016	0.00167417
0.67	0.7525	0.5	0.525	-0.0539164	0.00672971
0.7525	0.835	0.5	0.525	0.0529058	0.0329593
0.835	0.9175	0.5	0.525	-0.0197999	-0.0100287
0.9175	1	0.5	0.525	-0.0172309	-0.0173901
